text,label
"['जानने', 'कि', 'विकास', 'कितना', 'समझता', 'है', 'प्रियांका', 'आउर्', 'खुजली', 'रक्षक', 'लुव', 'को', 'उसने', 'वह थी', 'था', 'बेन', 'वाली', 'बात', 'में', 'अब', 'सल्लु', 'ने', 'भि', 'इस बात से सहमत', 'किया']",no
"['मैं', 'बजे', 'मुहाजिर', 'आउर्', 'मेरे', 'लाइ', 'सब', 'मैं जनता', 'पहली', 'पाकिस्तान', 'हे', 'अग्र', '10', 'लाख', 'अल्ताफ', 'जेसे', 'लीडर्स', 'भ', 'is', 'जमीन', 'कि', 'बेहुरमती', 'क्रेन', 'un', 'सबको', 'sar', 'e', 'aam', 'फँसी', 'देनी', 'चाह्ये', 'प्रौद', 'to', 'be', 'a', 'मुहाजिर', 'and', 'पाकिस्तानी']",no
"['Doctor', 'sab', 'सही', 'me', 'के', 'फद', 'in', 'hate', 'politics', 'wale', 'भै', 'पढ़े', 'लिखे', 'ho', 'fir', 'क्यू', 'ye', 'sab', 'बाते', 'करते', 'ho', 'Tum', 'bas', 'bowling', 'खेलो', 'आउर्', 'मजे', 'lo', 'पिक्टविटलोंफक1क़ुब्कस्त्व']",no
"['पूरे', 'देश', 'me', 'Patel', 'ओबीसी', 'me', 'आते', 'Hain', 'सर्फ', 'गुजरत', 'Ko', 'चोर', 'कर', 'may', 'be', 'ye', 'मनुवादियों', 'ब्रामणवादी', 'कभी', 'आपको', 'आरक्चन', 'नही', 'देंगे', 'ye', 'to', 'जिस', 'ओबीसी', 'Ko', 'Mila', 'है', 'उसे', 'भि', 'नफरत', 'करते', 'hain', 'ye', 'खूँ', 'आउर्', 'चमड़ी', 'ka', 'फ्राक', 'करने', 'वाले', 'भर्महणवादी', 'किसी', 'के', 'sage', 'नही', 'hain']",no
"['Sarkar', 'बनने', 'के', 'bad', 'हिंदु', 'hit', 'me', 'एक', 'भि', 'फैसला', 'Jo', 'बीजीपी', 'के', 'द्वारा', 'लिया', 'गया', 'होब्ज्प्', 'ko', 'गेगोबरमंद्रामजीद', 'आउर्', 'नफरत', 'फैला', 'कर', 'वोट', 'चाहिए']",yes
"['Hate', 'it', 'jab', 'test', 'एटा', 'ho', 'फ्र', 'भ', 'अचा', 'na', 'ho']",yes
"['एक', 'दिल', 'एक', 'जान', 'अकल', 'के', 'इमितिहान', 'कल', 'केपी', 'के', 'rape', 'आउर्', 'sawing', 'between', 'two', 'लेग्स', 'after', 'rape', 'होंगे', 'जस्टीफाइड', 'due', 'to', 'cinematic', 'liberty', 'अज', 'तोह', 'राजपुत', 'कि', 'ho', 'गई', 'शान', 'उर्दु', 'कि', 'गुलाम']",no
"['एसे', 'लोगो', 'se', 'सख्त', 'नफरत', 'करता', 'हू', 'Jo', 'caste', 'ko', 'naam', 'के', 'साठ', 'जोड़', 'के', 'चौड़े', 'होते', 'h', 'but', 'real', 'me', 'वो', 'पिड्डू', 'होते', 'h']",yes
"['Sir', 'ज्यादा', 'sentimental', 'mat', 'ho', 'जाओ', 'पीने', 'के', 'बाडजिस', 'देश', 'कि', 'बुनियाद', 'सर्फ', 'हिंदु', 'hatred', 'पे', 'हुई', 'ho', 'वोह', 'कभी', 'नही', 'सुधरेगा', 'आप', 'पोक', 'de', 'do', 'या', 'फिर', 'कबूतर', 'उड़ाओ', 'jawab', 'सर्फ', 'गोलियों', 'se', 'मिलेगा']",yes
"['I', 'am', 'very', 'sorry', 'to', 'say', 'साफ', 'दिल', 'शिल्प', 'के', 'फंस', 'हितें', 'के', 'दिल', 'mein', 'क्या', 'है', 'वोह', 'भि', 'समझते', 'hain', 'हद', 'hoti', 'है', 'नफरत', 'कि', 'भि']",no
