text,label
@saud5683 @Mutayyab420 @shivang598 @Ranask35 @milkygaay @Aapaawaambaa @thetanmay @INCIndia हा जैसे tum भि अभि प\ज़े2\एक्स80\एक्सा6 https://t.co/wZmXZPIMTD,0
"""बंटी है इम्पोवर्ड woman",2
रट @kim_jong_korea: @updatingwait @Acutereply अब उस्को छोड़ मझसे bat कर tera बाप aa ज्ञा है अब to लडकी ko beech me q la ra है मदरचोड़ ट\ज़े2\एक्स80\एक्सा6,2
"""@InviSibleSold @mabkhan86 @dridadahn पंजाब in मदरचोड़ों ko खिला रहा है",2
रट @MrMonsterSaid: Agar koi bole कि ज के chill मार to मदरचोड़ कि गंद मार lene का.,2
@InviSibleSold @mabkhan86 @dridadahn Main जुट पंजाबी hoon आउर् पका N लीग. मदरचोड़ इमरान कि पंजाब say नफरत clear है.,1
@adn_merry To भौसडिके तेरे बाप ka क्या ज रहा है? tu अपना घार देख na मदरचोड़,2
@updatingwait @Acutereply SUNNY लियोन बना के छोडेगे\नतेरी मा को\नसमझ ME आय \नमदर्चोड़ NEEM KA PATTA कडवा है\ज़े2\एक्स80\एक्सा6 https://t.co/tsrMfs26rp,2
@akramtyagi @BSF_India @rajnathsingh @Uppolice @moradabadpolice @myogiadityanath Pata नही एसे संघी कुतते ko भ\ज़े2\एक्स80\एक्सा6 https://t.co/n2PLeOgW0v,2
"""रट @AnshKSpeaks: Screw the law of the लैंड. If I find this चुटिया मदरचोड़ Mulla I will Lynch him",1
A boy donated blood to his जीएफ !\न\नतवों मोंथ्स later they broke up ?\न\नबो- मुझे मेरा खूँ लौटा de !! \न\निर्ल- (थ्रो\ज़े2\एक्स80\एक्सा6 https://t.co/0Ik5oBqSDb,0
@SHARIQSAM @imjadeja @RoflGandhi_ बीसी मदरचोड़ South अफ्रीका इंगलैंड main @imjadeja Man of the match award ले चुके\ज़े2\एक्स80\एक्सा6 https://t.co/hGTCrbEDPB,2
"""@INCIndia मदरचोड़ कांग्रेसी or बीजीपी दोनो कि sarkar bani बाद me wade भुल ग्ये"""" राजस्थान me हमरी City तक सिंगल\ज़े2\एक्स80\एक्सा6 https://t.co/4LCITdwiVc""",2
मदरचोड़ सोशिलीफ़ी wale log \एसीएस0\एक्स9फ\एक्स98\एक्सा1,2
@abdullah_lagh @MehrTarar मदरचोड़ क्या है यह,2
"""@Acutereply @updatingwait [12/12",2
रट @ISMATKH01427041: @ShankhNaad @PetaIndia @ChouhanShivraj किस मदरचोड़ कि he गिरी हुई हरकत,2
@m_sukhwal @aajtak तेरी मा बहन ko हर रूज चूड़ रहे है tum ख्याल रखो .वर्ण एसे hi चुड़ावती रहती है मदरचोड़.,2
@BhaiyyaSexy @SatyaSibaSabat1 @taran_adarsh दीवार सुपरहित नई अज के time के हिसाब se अतब है चुट्टे dont कम्पा\ज़े2\एक्स80\एक्सा6 https://t.co/52ENgEeb67,2
"""*विरत and अनुष्क'एस future किद*\न\ननुष्क: Mamma bolo beta",1
@dasraghubar @narendramodi @AmitShah @BJP4India @BJPLive @BJP4Jharkhand मदरचोड़ ब्रह्मणों se मफी mango,1
@LmRajpt @imjadeja @RoflGandhi_ सुवार के bache ..मदर चोड..तेरी मा कि chut मे..घुंगरू बजाउंगा मदरचोड़...भार\ज़े2\एक्स80\एक्सा6 https://t.co/bFTERvXNoQ,2
@HornyGlF फुक आफ! Chal भाग yahan se मदरचोड़,2
@LogicalGabbar @imjadeja तेरी मा ko our Ben ko छुड़वा sale बेंचड .... मदरचोड़....गब्बर,2
I have to say this मदरचोड़ @Twitter @TwitterIndia i क्रेटेड multiple एकाउंट्स and you locked all एकाउंट्स &एम्प,2
@I_Daredevil @ElahiHiba Ya बेक्रीचोड़ ज्यादा ni उछल rhe h भोसड़ी vale मदरचोड़\नबवासीर c शकल कि h ये\नन्द भोकते\ज़े2\एक्स80\एक्सा6 https://t.co/zcYFxTLXe5,2
